Rank,Release Group,Worldwide,Domestic,%,Foreign,%
118,Hridayam,"$1,740,483",-,-,"$1,740,483",100%
119,"Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%
120,Kamen Rider OOO 10th: The Core Medals of Resurrection,"$1,675,005",-,-,"$1,675,005",100%
121,Aaraattu,"$1,648,155",-,-,"$1,648,155",100%
122,Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard?!: The Movie,"$1,644,709",-,-,"$1,644,709",100%
123,Mission «Sky»,"$1,638,858",-,-,"$1,638,858",100%
124,The Ancestral,"$1,628,434",-,-,"$1,628,434",100%
125,Undercover,"$1,601,934",-,-,"$1,601,934",100%
126,Infinite Storm,"$1,600,543","$1,600,543",100%,-,-
127,Operation Mincemeat,"$1,568,856",-,-,"$1,568,856",100%
128,Full Time,"$1,551,683",-,-,"$1,551,683",100%
129,For Ziko,"$1,535,466",-,-,"$1,535,466",100%
130,Gierek,"$1,531,831",-,-,"$1,531,831",100%
131,V lete ti poviem,"$1,481,790",-,-,"$1,481,790",100%
132,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
133,Heart to Heart,"$1,360,919",-,-,"$1,360,919",100%
134,Vysehrad: Fylm,"$1,357,363",-,-,"$1,357,363",100%
135,Nhà Khong Bán,"$1,271,932",-,-,"$1,271,932",100%
136,Dilberay Küçük Dev Kadin,"$1,244,893",-,-,"$1,244,893",100%
137,Johnny's Jr. Our Survival Wars,"$1,211,524",-,-,"$1,211,524",100%
138,Swingers,"$1,168,817",-,-,"$1,168,817",100%
139,Malnazidos,"$1,156,835",-,-,"$1,156,835",100%
140,A Radiant Girl,"$1,154,112",-,-,"$1,154,112",100%
141,Badhaai Do,"$1,138,046",-,-,"$1,138,046",100%
142,1990,"$1,106,702",-,-,"$1,106,702",100%
143,The Tiger Rising,"$1,065,283","$835,162",78.4%,"$230,121",21.6%
144,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
145,Proyecto Emperador,"$1,028,929",-,-,"$1,028,929",100%
146,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
147,The Midnight Maiden War,"$996,057",-,-,"$996,057",100%
148,Aaja Mexico Challiye,"$981,425",-,-,"$981,425",100%
149,Zero Fucks Given,"$966,168",-,-,"$966,168",100%
150,Moya uzhasnaya sestra,"$957,279",-,-,"$957,279",100%
151,Dancing the Twist in Bamako,"$956,475",-,-,"$956,475",100%
152,Dolphin Boy,"$951,033",-,-,"$951,033",100%
153,Leopoldstadt - Nt Live 2022 (Theatre),"$935,181",-,-,"$935,181",100%
154,Brother,"$887,747",-,-,"$887,747",100%
155,Official Competition,"$876,210",-,-,"$876,210",100%
156,Hello Jadoo: The Secret of Jeju Island,"$875,894",-,-,"$875,894",100%
157,Usogui,"$855,598",-,-,"$855,598",100%
158,The Family,"$847,236",-,-,"$847,236",100%
159,Krime Story,"$845,412",-,-,"$845,412",100%
160,Nobody Has to Know,"$841,726",-,-,"$841,726",100%
161,Canallas,"$830,812",-,-,"$830,812",100%
162,The Souvenir,"$827,917",-,-,"$827,917",100%
